,0.ID,0.dist,1.ID,1.dist,3.ID,3.dist,5.ID,5.dist,6.ID,6.dist,8.ID,8.dist,9.ID,9.dist,10.ID,10.dist,13.ID,13.dist,14.ID,14.dist,20.ID,20.dist,22.ID,22.dist,23.ID,23.dist,85.ID,85.dist,95.ID,95.dist,160.ID,160.dist,123.ID,123.dist
40,20,0.0369,23,0.0359,74,0.0323,10,0.0358,67,0.0432,3,0.0414,23,0.0335,170,0.0432,29,0.0306,146,0.0378,146,0.033,6,0.0436,3,0.0318,135,0.0377,67,0.0312,29,0.0366,74,0.039
41,50,0.0375,16,0.0362,22,0.0327,40,0.0373,22,0.0436,67,0.0419,146,0.0341,11,0.0442,170,0.0309,40,0.0382,7,0.0331,12,0.0439,5,0.032,160,0.0383,4,0.0317,19,0.0368,140,0.0398
42,5,0.0381,74,0.0362,29,0.0332,131,0.0379,170,0.0437,1,0.042,0,0.0343,4,0.0443,0,0.0316,27,0.0385,24,0.0334,2,0.0439,12,0.0323,24,0.0392,59,0.0317,23,0.037,131,0.0401
43,29,0.0384,146,0.0364,40,0.0332,0,0.0381,0,0.0443,21,0.0424,85,0.0347,15,0.0445,112,0.0321,123,0.0405,4,0.0339,143,0.0448,2,0.0323,13,0.0401,84,0.0318,110,0.0374,3,0.0403
44,95,0.0387,84,0.0366,115,0.0351,16,0.0382,146,0.0443,40,0.0424,59,0.0357,29,0.0447,19,0.0327,131,0.0409,143,0.0341,40,0.0449,10,0.0325,5,0.041,24,0.032,65,0.0377,14,0.0405
45,140,0.0391,12,0.0373,110,0.0353,65,0.039,19,0.0443,160,0.0432,74,0.0368,153,0.0466,4,0.0331,65,0.0412,10,0.0351,7,0.0452,67,0.0326,59,0.0417,110,0.0335,153,0.0383,101,0.0408
46,12,0.0395,2,0.0373,19,0.0359,140,0.0401,74,0.0444,15,0.0436,4,0.0369,38,0.0468,115,0.0336,84,0.0419,191,0.0362,0,0.0453,123,0.0328,74,0.0419,10,0.034,85,0.0383,160,0.0408
47,2,0.0395,73,0.0378,85,0.0375,112,0.0402,8,0.0445,9,0.0436,16,0.0371,19,0.048,65,0.0338,22,0.0436,0,0.0369,38,0.0469,4,0.0329,191,0.0425,191,0.034,170,0.0385,95,0.0409
48,115,0.0402,123,0.0379,153,0.0382,85,0.041,29,0.0452,50,0.0439,32,0.0373,40,0.0482,40,0.0344,170,0.044,59,0.0374,24,0.0471,22,0.0332,50,0.0444,74,0.0345,73,0.0398,32,0.042
49,101,0.0405,40,0.0386,4,0.039,170,0.0416,123,0.0454,95,0.0441,73,0.0394,146,0.0491,123,0.0348,1,0.0449,84,0.0393,5,0.0486,9,0.0335,12,0.0447,40,0.0346,74,0.0406,21,0.0429
